Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,PILRB,Paired immunoglobulin-like type 2 receptor beta,Inverse variance weighted,76,1.04 [1.01-1.07],0.0062757339619289
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,MMP3,Stromelysin-1,Inverse variance weighted,35,0.89 [0.83-0.97],0.0048538111661167
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,KLK8,Kallikrein-8,Inverse variance weighted,17,0.88 [0.80-0.97],0.0091689478133513
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,MMP8,Neutrophil collagenase,Inverse variance weighted,25,1.10 [1.03-1.17],0.0035138443388019
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,SERPINA3,Alpha-1-antichymotrypsin,Inverse variance weighted,13,0.89 [0.81-0.97],0.0072085862472803
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,CX3CL1,Fractalkine,Inverse variance weighted,23,1.14 [1.03-1.26],0.008069031582657
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,ALCAM,CD166 antigen,Inverse variance weighted,11,0.83 [0.72-0.96],0.0098079902404282
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,RNASE4,Ribonuclease 4,Inverse variance weighted,13,1.16 [1.04-1.28],0.0061502393338121
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,SIGLEC5,Sialic acid-binding Ig-like lectin 5,Inverse variance weighted,31,1.05 [1.01-1.10],0.0067553438515275
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,IL1RN,Interleukin-1 receptor antagonist protein,Inverse variance weighted,12,1.27 [1.07-1.51],0.0058285249741711
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,0.80 [0.72-0.89],1.6854379617939e-05
Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,1.11 [1.04-1.19],0.001909442496149
