Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_INTESTOTH,CA6,Carbonic anhydrase 6,Inverse variance weighted,10,0.84 [0.76-0.93],0.00116557396049309,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,NECTIN2,Nectin-2,Inverse variance weighted,10,1.21 [1.07-1.37],0.00243820049080668,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,10,1.19 [1.06-1.34],0.00356589846680017,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,EGFR,Epidermal growth factor receptor,Inverse variance weighted,10,0.84 [0.75-0.95],0.00562075624621548,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,CHGA,Chromogranin-A,Inverse variance weighted,10,1.19 [1.05-1.34],0.00630844578472697,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,10,1.17 [1.04-1.31],0.00688184997174802,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,PRND,Prion-like protein doppel,Inverse variance weighted,10,1.2 [1.05-1.37],0.00711320069963833,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,INHBB,Inhibin beta B chain,Inverse variance weighted,10,1.18 [1.04-1.33],0.00821742659104602,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,LTBR,Tumor necrosis factor receptor superfamily member 3,Inverse variance weighted,10,1.17 [1.04-1.32],0.00967001600474293,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,EPHA1,Ephrin type-A receptor 1,Inverse variance weighted,10,1.16 [1.04-1.31],0.0106981616072381,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,Inverse variance weighted,10,0.84 [0.74-0.96],0.0116194055347859,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,Inverse variance weighted,10,1.21 [1.04-1.4],0.0121455324992909,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,10,1.18 [1.03-1.34],0.0134469410187831,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,THBD,Thrombomodulin,Inverse variance weighted,10,1.16 [1.03-1.31],0.013760063354503,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,10,1.16 [1.03-1.31],0.0159970320606264,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,SPON2,Spondin-2,Inverse variance weighted,10,1.16 [1.03-1.32],0.0172405837900255,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,SERPINF1,Pigment epithelium-derived factor,Inverse variance weighted,10,1.16 [1.03-1.32],0.0179758301897353,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,10,1.19 [1.03-1.38],0.0183977450222606,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,SPINK4,Serine protease inhibitor Kazal-type 4,Inverse variance weighted,10,1.16 [1.02-1.31],0.0192242772770971,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,ORM1,Alpha-1-acid glycoprotein 1,Inverse variance weighted,10,1.18 [1.03-1.35],0.0196162718379959,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,GGT5,Glutathione hydrolase 5 proenzyme,Inverse variance weighted,10,0.86 [0.76-0.98],0.0206720117343039,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,10,1.19 [1.03-1.37],0.0207208312760852,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,CLMP,CXADR-like membrane protein,Inverse variance weighted,10,1.15 [1.02-1.3],0.0237849589223953,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,ULBP2,UL16-binding protein 2,Inverse variance weighted,10,1.15 [1.02-1.29],0.0243349715055043,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,10,1.15 [1.02-1.3],0.0264948552414172,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,FABP3,"Fatty acid-binding protein, heart",Inverse variance weighted,10,1.16 [1.02-1.32],0.0269158101895635,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,JAM2,Junctional adhesion molecule B,Inverse variance weighted,10,1.14 [1.02-1.29],0.0273919800802266,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,CTSO,Cathepsin O,Inverse variance weighted,10,1.15 [1.02-1.3],0.0276760247012762,trans
Chapter XI Diseases of the digestive system,K11_INTESTOTH,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,1.16 [1.01-1.33],0.0321678954627089,trans
