Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_COELIAC,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",Inverse variance weighted,52,1.14 [1.07-1.21],1.4360187165969e-05,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,CPVL,Probable serine carboxypeptidase CPVL,Inverse variance weighted,52,1.05 [1.03-1.08],8.09745571016272e-05,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,HLA-E,"HLA class I histocompatibility antigen, alpha chain E",Inverse variance weighted,52,1.07 [1.03-1.12],0.00061366546766698,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,SIGLEC6,Sialic acid-binding Ig-like lectin 6,Inverse variance weighted,52,1.04 [1.02-1.06],0.000720947169784823,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,CTSE,Cathepsin E,Inverse variance weighted,52,0.98 [0.97-0.99],0.000798892171996549,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,CLEC4A,C-type lectin domain family 4 member A,Inverse variance weighted,52,0.97 [0.95-0.99],0.0031045793581137,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,52,1.04 [1.01-1.07],0.00374233575083018,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,52,1.02 [1.01-1.04],0.00536885670927279,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,B2M,Beta-2-microglobulin,Inverse variance weighted,52,1.05 [1.01-1.08],0.00560150414176799,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Inverse variance weighted,52,0.98 [0.97-0.99],0.00645048406705784,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Inverse variance weighted,52,1.04 [1.01-1.07],0.00728690021530301,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,52,1.04 [1.01-1.07],0.00740970239140291,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,RNASET2,Ribonuclease T2,Inverse variance weighted,52,1.03 [1.01-1.06],0.00812728879418909,trans
Chapter XI Diseases of the digestive system,K11_COELIAC,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,52,1.02 [1-1.03],0.00939364969918462,trans
