Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,NPL,N-acetylneuraminate lyase,Inverse variance weighted,14,1.15 [1.1-1.21],1.11274568024465e-08,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,CXADR,Coxsackievirus and adenovirus receptor,Inverse variance weighted,14,1.05 [1.03-1.08],1.52868061130927e-05,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,UBQLN3,Ubiquilin-3,Inverse variance weighted,14,1.05 [1.03-1.08],7.18075021788513e-05,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,IL18,Interleukin-18,Inverse variance weighted,14,1.04 [1.02-1.06],0.000319050789180776,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,CCL7,C-C motif chemokine 7,Inverse variance weighted,14,1.04 [1.02-1.06],0.000483290701768871,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,ELN,Elastin,Inverse variance weighted,14,0.97 [0.95-0.99],0.000525953351279044,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,NOS3,"Nitric oxide synthase, endothelial",Inverse variance weighted,14,1.04 [1.01-1.06],0.00164115034507489,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,VAMP5,Vesicle-associated membrane protein 5,Inverse variance weighted,14,1.04 [1.01-1.06],0.00198199178186424,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,ATP6AP2,Renin receptor,Inverse variance weighted,14,1.04 [1.01-1.06],0.00203132590736831,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,IGF2R,Cation-independent mannose-6-phosphate receptor,Inverse variance weighted,14,1.04 [1.01-1.07],0.00203326568018391,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,14,1.04 [1.01-1.06],0.00205911516415176,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,14,1.04 [1.01-1.06],0.00247611897112266,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,Inverse variance weighted,14,1.06 [1.02-1.1],0.00275403460884054,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,OCLN,Occludin,Inverse variance weighted,14,1.04 [1.01-1.06],0.00277768882656536,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,PTGR1,Prostaglandin reductase 1,Inverse variance weighted,14,1.05 [1.02-1.08],0.00285449461293122,trans
