Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Hypotension,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,18,1.04 [0.93-1.17],0.491672282195039
Chapter IX Diseases of the circulatory system,Hypotension,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,15,0.99 [0.85-1.15],0.908483326226462
Chapter IX Diseases of the circulatory system,Hypotension,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.10 [0.76-1.58],0.614658944791808
Chapter IX Diseases of the circulatory system,Hypotension,NECTIN2,Nectin-2,Inverse variance weighted,8,0.93 [0.78-1.11],0.443690406198893
Chapter IX Diseases of the circulatory system,Hypotension,COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,17,0.99 [0.83-1.18],0.920785280291416
Chapter IX Diseases of the circulatory system,Hypotension,NPDC1,Neural proliferation differentiation and control protein 1,Inverse variance weighted,7,1.12 [0.79-1.59],0.512378119621699
Chapter IX Diseases of the circulatory system,Hypotension,SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,34,0.95 [0.88-1.02],0.167278710948148
Chapter IX Diseases of the circulatory system,Hypotension,NECTIN4,Nectin-4,Inverse variance weighted,12,1.09 [0.96-1.23],0.169783968646832
Chapter IX Diseases of the circulatory system,Hypotension,CD79B,B-cell antigen receptor complex-associated protein beta chain,Inverse variance weighted,21,0.98 [0.82-1.16],0.778281714773975
Chapter IX Diseases of the circulatory system,Hypotension,RNASE6,Ribonuclease K6,Inverse variance weighted,20,0.98 [0.89-1.08],0.696114518358245
Chapter IX Diseases of the circulatory system,Hypotension,AREG,Amphiregulin,Inverse variance weighted,7,1.42 [1.09-1.86],0.00952784893546
Chapter IX Diseases of the circulatory system,Hypotension,CD83,CD83 antigen,Inverse variance weighted,19,1.02 [0.88-1.20],0.762927452251007
Chapter IX Diseases of the circulatory system,Hypotension,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,1.04 [0.91-1.19],0.567137300517271
Chapter IX Diseases of the circulatory system,Hypotension,CD27,CD27 antigen,Inverse variance weighted,18,0.88 [0.78-0.99],0.0344662785760487
Chapter IX Diseases of the circulatory system,Hypotension,LY6D,Lymphocyte antigen 6D,Inverse variance weighted,31,1.04 [0.96-1.13],0.381252170237577
Chapter IX Diseases of the circulatory system,Hypotension,XG,Glycoprotein Xg,Inverse variance weighted,2,1.96 [0.59-6.53],0.274543030464318
Chapter IX Diseases of the circulatory system,Hypotension,KLRB1,Killer cell lectin-like receptor subfamily B member 1,Inverse variance weighted,19,1.01 [0.87-1.18],0.866273869379692
Chapter IX Diseases of the circulatory system,Hypotension,CD302,CD302 antigen,Inverse variance weighted,17,0.98 [0.87-1.11],0.76241302761491
Chapter IX Diseases of the circulatory system,Hypotension,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,5,0.98 [0.70-1.38],0.915000308145862
Chapter IX Diseases of the circulatory system,Hypotension,PALM,Paralemmin-1,Inverse variance weighted,10,0.98 [0.77-1.25],0.894202966447679
Chapter IX Diseases of the circulatory system,Hypotension,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,6,0.96 [0.81-1.13],0.599791216966471
Chapter IX Diseases of the circulatory system,Hypotension,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.02 [0.96-1.10],0.493610850336962
Chapter IX Diseases of the circulatory system,Hypotension,ANGPTL4,Angiopoietin-related protein 4,Inverse variance weighted,8,0.98 [0.86-1.11],0.702478976839061
Chapter IX Diseases of the circulatory system,Hypotension,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.08 [0.95-1.22],0.26242886051455
Chapter IX Diseases of the circulatory system,Hypotension,ULBP2,UL16-binding protein 2,Inverse variance weighted,37,0.96 [0.91-1.02],0.177563992408783
Chapter IX Diseases of the circulatory system,Hypotension,SPON2,Spondin-2,Inverse variance weighted,8,0.97 [0.82-1.13],0.671543845742627
Chapter IX Diseases of the circulatory system,Hypotension,PRND,Prion-like protein doppel,Inverse variance weighted,24,1.02 [0.93-1.13],0.664742527596969
Chapter IX Diseases of the circulatory system,Hypotension,VWC2,Brorin,Inverse variance weighted,35,1.01 [0.91-1.12],0.870998925379737
Chapter IX Diseases of the circulatory system,Hypotension,CST3,Cystatin-C,Inverse variance weighted,13,1.01 [0.89-1.15],0.828392595067388
Chapter IX Diseases of the circulatory system,Hypotension,FSTL3,Follistatin-related protein 3,Inverse variance weighted,7,0.99 [0.76-1.29],0.961743969513851
Chapter IX Diseases of the circulatory system,Hypotension,PGF,Placenta growth factor,Inverse variance weighted,8,1.14 [0.83-1.55],0.423333160831096
Chapter IX Diseases of the circulatory system,Hypotension,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Inverse variance weighted,8,1.21 [1.00-1.46],0.0488786501691118
Chapter IX Diseases of the circulatory system,Hypotension,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.06 [0.83-1.34],0.642474844083617
Chapter IX Diseases of the circulatory system,Hypotension,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,1.18 [0.99-1.41],0.066721002397582
Chapter IX Diseases of the circulatory system,Hypotension,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.16 [0.87-1.55],0.320366270111348
