Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PI3,Elafin,Inverse variance weighted,20,1.01 [0.96-1.05],0.821615482002746
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NHLRC3,NHL repeat-containing protein 3,Inverse variance weighted,9,0.97 [0.89-1.06],0.471274836807226
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CLEC4A,C-type lectin domain family 4 member A,Inverse variance weighted,16,1.01 [0.85-1.20],0.901322756521856
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MFAP4,Microfibril-associated glycoprotein 4,Inverse variance weighted,19,1.05 [0.99-1.11],0.0937673842291546
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD86,T-lymphocyte activation antigen CD86,Inverse variance weighted,25,0.99 [0.94-1.04],0.739963529946849
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CREG1,Protein CREG1,Inverse variance weighted,24,0.99 [0.94-1.03],0.567431082559062
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IL6,Interleukin-6,Inverse variance weighted,6,0.88 [0.81-0.96],0.0023733130254945
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCL3,C-C motif chemokine 3,Inverse variance weighted,15,1.01 [0.94-1.09],0.699831565030661
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,11,1.06 [1.01-1.12],0.0206629392755571
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MMP7,Matrilysin,Inverse variance weighted,15,1.03 [0.98-1.07],0.243202664669398
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCN5,CCN family member 5,Inverse variance weighted,12,0.97 [0.92-1.03],0.341629522704498
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PON3,Serum paraoxonase/lactonase 3,Inverse variance weighted,30,1.00 [0.94-1.05],0.887100295818903
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SCT,Secretin,Inverse variance weighted,5,1.01 [0.87-1.18],0.890040792249681
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FGFBP2,Fibroblast growth factor-binding protein 2,Inverse variance weighted,59,1.02 [0.99-1.05],0.192242335587327
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ADGRG2,Adhesion G-protein coupled receptor G2,Inverse variance weighted,8,0.87 [0.71-1.08],0.201767244772076
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,F7,Coagulation factor VII,Inverse variance weighted,30,1.03 [0.99-1.07],0.161108590211006
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PTGR1,Prostaglandin reductase 1,Inverse variance weighted,18,1.02 [0.98-1.06],0.362342021806429
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,Inverse variance weighted,5,1.00 [0.92-1.09],0.961975238642673
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,HIP1R,Huntingtin-interacting protein 1-related protein,Inverse variance weighted,2,0.99 [0.87-1.13],0.884578259828584
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CA14,Carbonic anhydrase 14,Inverse variance weighted,21,0.91 [0.82-1.01],0.0640422314451356
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MZB1,Marginal zone B- and B1-cell-specific protein,Inverse variance weighted,19,1.04 [0.94-1.16],0.420565863244666
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SERPINB8,Serpin B8,Inverse variance weighted,29,1.01 [0.99-1.04],0.23122134366828
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,0.88 [0.76-1.03],0.120369632541202
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,AREG,Amphiregulin,Inverse variance weighted,7,1.02 [0.90-1.16],0.78813400169085
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,TCN2,Transcobalamin-2,Inverse variance weighted,66,1.03 [1.01-1.06],0.0174881125725936
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CXCL17,C-X-C motif chemokine 17,Inverse variance weighted,8,1.02 [0.85-1.22],0.828346656054518
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NPPB,Natriuretic peptides B,Inverse variance weighted,3,0.89 [0.80-0.98],0.0212866517343393
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PTN,Pleiotrophin,Inverse variance weighted,7,1.06 [0.88-1.29],0.529503806693609
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,28,0.98 [0.96-1.00],0.0801683107902765
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NECTIN2,Nectin-2,Inverse variance weighted,8,0.97 [0.87-1.08],0.533201683569826
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCL21,C-C motif chemokine 21,Inverse variance weighted,19,1.00 [0.93-1.07],0.988975715186721
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NTRK3,NT-3 growth factor receptor,Inverse variance weighted,15,0.93 [0.87-1.00],0.055765759354503
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ADAMTSL2,ADAMTS-like protein 2,Inverse variance weighted,9,0.92 [0.85-1.00],0.0633346479981171
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CRIP2,Cysteine-rich protein 2,Inverse variance weighted,11,1.09 [0.94-1.27],0.234562969476751
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Inverse variance weighted,25,0.99 [0.91-1.08],0.808893964026417
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MENT,Protein MENT,Inverse variance weighted,30,1.05 [0.97-1.13],0.242366294987937
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,HEPACAM2,HEPACAM family member 2,Inverse variance weighted,70,1.00 [0.97-1.03],0.886611400488312
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,8,1.17 [1.06-1.29],0.0027233977256999
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,EDN1,Endothelin-1,Inverse variance weighted,3,1.02 [0.95-1.10],0.568923254554429
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CHCHD6,MICOS complex subunit MIC25,Inverse variance weighted,4,1.05 [0.95-1.16],0.360810734470276
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FLT3LG,Fms-related tyrosine kinase 3 ligand,Inverse variance weighted,52,1.06 [1.00-1.12],0.0368809432180008
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,HBEGF,Proheparin-binding EGF-like growth factor,Inverse variance weighted,22,0.95 [0.89-1.02],0.200141685083483
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FAM3B,Protein FAM3B,Inverse variance weighted,26,1.00 [0.97-1.03],0.982204542065393
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CLEC3B,Tetranectin,Inverse variance weighted,9,0.92 [0.87-0.98],0.0144164921625447
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,XG,Glycoprotein Xg,Inverse variance weighted,2,0.87 [0.66-1.15],0.340295619901876
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,BCAN,Brevican core protein,Inverse variance weighted,15,1.04 [0.97-1.13],0.26305627795634
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,0.96 [0.93-0.99],0.0127857610600396
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD302,CD302 antigen,Inverse variance weighted,17,0.93 [0.88-0.99],0.0168154256601175
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MASP1,Mannan-binding lectin serine protease 1,Inverse variance weighted,36,0.99 [0.95-1.02],0.473459585512229
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,Inverse variance weighted,40,0.99 [0.96-1.03],0.696781143746534
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PLA2G10,Group 10 secretory phospholipase A2,Inverse variance weighted,26,0.94 [0.88-1.01],0.0954084959188604
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,RNASE10,Inactive ribonuclease-like protein 10,Inverse variance weighted,27,1.00 [0.98-1.02],0.981368547591979
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NRCAM,Neuronal cell adhesion molecule,Inverse variance weighted,26,1.03 [0.99-1.07],0.153018660539304
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD300LG,CMRF35-like molecule 9,Inverse variance weighted,24,0.96 [0.89-1.03],0.278916464344583
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FOLR2,Folate receptor beta,Inverse variance weighted,16,0.96 [0.88-1.04],0.288664211365764
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LRG1,Leucine-rich alpha-2-glycoprotein,Inverse variance weighted,27,0.98 [0.94-1.03],0.424235574319217
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CDH2,Cadherin-2,Inverse variance weighted,21,0.97 [0.84-1.12],0.657350580672426
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ADM,Pro-adrenomedullin,Inverse variance weighted,4,1.06 [0.93-1.21],0.364549793209905
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FABP6,Gastrotropin,Inverse variance weighted,5,0.85 [0.73-0.98],0.0263183290097637
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,AHNAK,Neuroblast differentiation-associated protein AHNAK,Inverse variance weighted,6,1.00 [0.90-1.12],0.965267430009244
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,REG1B,Lithostathine-1-beta,Inverse variance weighted,26,1.02 [0.98-1.07],0.282684566868863
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CLEC4M,C-type lectin domain family 4 member M,Inverse variance weighted,55,0.99 [0.96-1.01],0.304632620834437
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SPOCK1,Testican-1,Inverse variance weighted,31,0.93 [0.86-1.00],0.0474298463845324
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,1.04 [1.00-1.08],0.0625208070718579
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,DPY30,Protein dpy-30 homolog,Inverse variance weighted,2,0.98 [0.77-1.25],0.85019535772692
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ERMAP,Erythroid membrane-associated protein,Inverse variance weighted,35,1.02 [0.98-1.06],0.377885172762385
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SORCS2,VPS10 domain-containing receptor SorCS2,Inverse variance weighted,30,1.01 [0.96-1.05],0.820037298256502
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ANGPTL4,Angiopoietin-related protein 4,Inverse variance weighted,8,1.01 [0.94-1.09],0.699577453304121
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FABP2,"Fatty acid-binding protein, intestinal",Inverse variance weighted,8,0.87 [0.82-0.93],6.51152015707221e-05
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IDS,Iduronate 2-sulfatase,Inverse variance weighted,3,1.03 [0.95-1.11],0.488785988233124
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PRSS8,Prostasin,Inverse variance weighted,19,0.96 [0.88-1.05],0.340245634131932
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Inverse variance weighted,2,1.13 [1.00-1.28],0.0549166198187054
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCL15,C-C motif chemokine 15,Inverse variance weighted,28,1.00 [0.98-1.02],0.826502850625027
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LGALS1,Galectin-1,Inverse variance weighted,7,1.03 [0.98-1.08],0.214098384519194
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,GDF2,Growth/differentiation factor 2,Inverse variance weighted,31,0.99 [0.92-1.06],0.762205914976176
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD27,CD27 antigen,Inverse variance weighted,18,1.02 [0.97-1.07],0.413755018519236
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FASLG,Tumor necrosis factor ligand superfamily member 6,Inverse variance weighted,54,1.01 [0.95-1.07],0.808168579911537
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CTSS,Cathepsin S,Inverse variance weighted,30,1.02 [0.98-1.07],0.380366538722117
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PTK7,Inactive tyrosine-protein kinase 7,Wald ratio,1,1.15 [0.86-1.54],0.351256844103181
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,TIMP1,Metalloproteinase inhibitor 1,Inverse variance weighted,2,0.93 [0.76-1.13],0.465152801871952
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,APCS,Serum amyloid P-component,Inverse variance weighted,7,0.97 [0.90-1.04],0.386930043690838
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,Inverse variance weighted,23,1.02 [0.98-1.06],0.280956265780632
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,F10,Coagulation factor X,Inverse variance weighted,18,0.99 [0.96-1.03],0.64668418245504
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SEZ6L2,Seizure 6-like protein 2,Inverse variance weighted,14,0.97 [0.88-1.06],0.453980305782689
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,GPC5,Glypican-5,Inverse variance weighted,53,1.00 [0.98-1.02],0.891488105052308
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NRP1,Neuropilin-1,Inverse variance weighted,26,0.95 [0.91-0.99],0.0226487729697991
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.95 [0.79-1.15],0.605970150495204
