Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter X Diseases of the respiratory system,J10_INFLUENZA,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,1.5 [1.23-1.84],6.0125124253768e-05,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CD300LF,CMRF35-like molecule 1,Inverse variance weighted,29,0.93 [0.89-0.97],0.0013879468619029,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CD5,T-cell surface glycoprotein CD5,Inverse variance weighted,6,1.33 [1.11-1.58],0.00158016442460744,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,EFNA1,Ephrin-A1,Inverse variance weighted,11,1.2 [1.07-1.35],0.00256448826556888,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,11,1.19 [1.06-1.34],0.00325042026766947,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ACVRL1,Serine/threonine-protein kinase receptor R3,Inverse variance weighted,10,0.9 [0.84-0.97],0.00713503444854743,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,Inverse variance weighted,16,0.89 [0.82-0.97],0.00912963880981168,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ADA2,Adenosine deaminase 2,Inverse variance weighted,8,1.14 [1.03-1.26],0.0101282528946913,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CTSL,Cathepsin L1,Wald ratio,1,0.43 [0.22-0.83],0.0123681695729125,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,DLL1,Delta-like protein 1,Inverse variance weighted,7,1.25 [1.05-1.48],0.0125585753149272,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Inverse variance weighted,11,0.78 [0.63-0.96],0.0166051008938811,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,25,1.06 [1.01-1.11],0.0226330034723668,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CLEC5A,C-type lectin domain family 5 member A,Inverse variance weighted,8,0.89 [0.81-0.99],0.0253598984622414,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,SPP1,Osteopontin,Inverse variance weighted,8,1.29 [1.03-1.61],0.0286711081923142,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,JAM2,Junctional adhesion molecule B,Inverse variance weighted,2,0.59 [0.36-0.95],0.0299866550072161,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,SPON1,Spondin-1,Inverse variance weighted,21,0.92 [0.85-0.99],0.0318040190941115,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,Inverse variance weighted,12,1.09 [1-1.18],0.0383020053034753,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,2,0.56 [0.32-0.97],0.0403414262823351,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inverse variance weighted,14,0.86 [0.75-0.99],0.0415824681612053,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CRTAM,Cytotoxic and regulatory T-cell molecule,Inverse variance weighted,15,1.07 [1-1.15],0.0499795383582541,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CTSZ,Cathepsin Z,Inverse variance weighted,3,0.89 [0.79-1],0.0562635551972091,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,2,1.3 [0.99-1.71],0.0572220306985644,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,PRSS8,Prostasin,Inverse variance weighted,5,0.82 [0.66-1.01],0.0643120965957108,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,AGRN,Agrin,Inverse variance weighted,17,0.91 [0.82-1.01],0.064724972375441,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,THY1,Thy-1 membrane glycoprotein,Inverse variance weighted,10,1.06 [1-1.14],0.0648915036709595,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,SPON2,Spondin-2,Inverse variance weighted,4,1.2 [0.98-1.46],0.0770976469904821,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,28,1.05 [0.99-1.12],0.0772157963270167,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,EFNA4,Ephrin-A4,Inverse variance weighted,3,0.77 [0.57-1.03],0.0807049629344803,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,AREG,Amphiregulin,Inverse variance weighted,3,0.84 [0.69-1.02],0.0846141798530036,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,STC1,Stanniocalcin-1,Inverse variance weighted,2,1.49 [0.94-2.36],0.0869408787563067,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,2,1.28 [0.96-1.71],0.0923484020599258,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CD74,HLA class II histocompatibility antigen gamma chain,Wald ratio,1,0.54 [0.27-1.11],0.0950723365376503,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CA12,Carbonic anhydrase 12,Inverse variance weighted,13,1.07 [0.99-1.15],0.0988037675062659,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,RNASE6,Ribonuclease K6,Inverse variance weighted,15,0.95 [0.9-1.01],0.10119293088193,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,SHISA5,Protein shisa-5,Inverse variance weighted,5,0.76 [0.54-1.06],0.103483533639512,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,23,1.05 [0.99-1.1],0.105824552028743,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CD83,CD83 antigen,Inverse variance weighted,5,0.86 [0.72-1.03],0.10591861894049,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,MZB1,Marginal zone B- and B1-cell-specific protein,Wald ratio,1,0.51 [0.22-1.18],0.114058333678044,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,VWC2,Brorin,Inverse variance weighted,22,1.07 [0.98-1.17],0.122025889240545,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,IGSF8,Immunoglobulin superfamily member 8,Inverse variance weighted,2,0.85 [0.68-1.05],0.122668693827254,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,OSCAR,Osteoclast-associated immunoglobulin-like receptor,Inverse variance weighted,24,1.03 [0.99-1.07],0.12305743768156,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ESAM,Endothelial cell-selective adhesion molecule,Inverse variance weighted,3,1.2 [0.95-1.5],0.12570792576416,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,HYOU1,Hypoxia up-regulated protein 1,Inverse variance weighted,6,1.13 [0.96-1.34],0.138888681017662,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,FOLR1,Folate receptor alpha,Inverse variance weighted,5,1.16 [0.95-1.42],0.1452451888651,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,0.86 [0.7-1.06],0.150221571592242,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,3,0.74 [0.5-1.12],0.152474010271803,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,MSR1,Macrophage scavenger receptor types I and II,Inverse variance weighted,8,1.06 [0.98-1.14],0.154117222345312,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,GDNF,Glial cell line-derived neurotrophic factor,Inverse variance weighted,12,0.93 [0.85-1.03],0.160253748100625,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,10,1.08 [0.97-1.2],0.162847556760153,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CXADR,Coxsackievirus and adenovirus receptor,Inverse variance weighted,2,0.84 [0.65-1.07],0.164339835673738,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,REG1A,Lithostathine-1-alpha,Inverse variance weighted,13,0.93 [0.83-1.03],0.16460738382718,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,SIGLEC1,Sialoadhesin,Inverse variance weighted,20,1.06 [0.97-1.15],0.179620201149643,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,MMP12,Macrophage metalloelastase,Inverse variance weighted,18,1.03 [0.98-1.08],0.195576347550704,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ADGRB3,Adhesion G protein-coupled receptor B3,Inverse variance weighted,50,1.02 [0.99-1.06],0.201773917289787,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,Inverse variance weighted,5,0.91 [0.79-1.05],0.20243867029472,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,IFNGR1,Interferon gamma receptor 1,Inverse variance weighted,4,0.9 [0.76-1.06],0.206968185408267,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,ANGPTL4,Angiopoietin-related protein 4,Inverse variance weighted,7,0.94 [0.86-1.03],0.207405146417331,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,IL15RA,Interleukin-15 receptor subunit alpha,Inverse variance weighted,14,1.07 [0.96-1.18],0.207613948847507,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Wald ratio,1,1.19 [0.91-1.55],0.211297204426591,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,11,1.07 [0.96-1.2],0.212452486797511,cis
Chapter X Diseases of the respiratory system,J10_INFLUENZA,CALB2,Calretinin,Wald ratio,1,1.37 [0.83-2.26],0.220130354108842,cis
