Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,6,0.69 [0.55-0.87],0.0020187033624659,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,14,1.17 [0.99-1.37],0.0614682375671865,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,13,0.91 [0.78-1.05],0.199044404203015,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,INHBB,Inhibin beta B chain,Inverse variance weighted,6,0.86 [0.69-1.08],0.199995891009951,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,14,0.88 [0.72-1.07],0.20077234230969,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,YAP1,Transcriptional coactivator YAP1,Wald ratio,1,2.06 [0.66-6.49],0.215086573219291,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,CD27,CD27 antigen,Inverse variance weighted,8,0.88 [0.71-1.1],0.27558103830461,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,NECTIN4,Nectin-4,Inverse variance weighted,6,1.12 [0.89-1.4],0.325946177342689,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,LGALS9,Galectin-9,Inverse variance weighted,12,1.15 [0.86-1.55],0.340187075768983,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,TFF2,Trefoil factor 2,Inverse variance weighted,3,1.3 [0.74-2.3],0.366474835696197,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_URTICARIAERYTHEMA,AMBP,Protein AMBP,Inverse variance weighted,3,0.78 [0.41-1.49],0.44832385262516,cis
