Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter IX Diseases of the circulatory system,I9_TIA,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,25,1.08 [1.03-1.13],0.00289408181496906,cis
Chapter IX Diseases of the circulatory system,I9_TIA,CD300E,CMRF35-like molecule 2,Inverse variance weighted,21,0.93 [0.88-0.99],0.019590277049297,cis
Chapter IX Diseases of the circulatory system,I9_TIA,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,1.25 [1.03-1.51],0.0246529841038026,cis
Chapter IX Diseases of the circulatory system,I9_TIA,FABP3,"Fatty acid-binding protein, heart",Inverse variance weighted,4,1.2 [1-1.45],0.04747601688197,cis
Chapter IX Diseases of the circulatory system,I9_TIA,CHGA,Chromogranin-A,Inverse variance weighted,3,0.9 [0.8-1],0.0533290395560645,cis
Chapter IX Diseases of the circulatory system,I9_TIA,PROS1,Vitamin K-dependent protein S,Inverse variance weighted,8,0.86 [0.74-1],0.0557480743708092,cis
Chapter IX Diseases of the circulatory system,I9_TIA,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Wald ratio,1,1.2 [0.99-1.45],0.0592230457069207,cis
Chapter IX Diseases of the circulatory system,I9_TIA,PRSS8,Prostasin,Inverse variance weighted,5,1.16 [0.99-1.35],0.0596567706012202,cis
Chapter IX Diseases of the circulatory system,I9_TIA,COLEC12,Collectin-12,Inverse variance weighted,11,0.93 [0.85-1.01],0.0726481997693629,cis
Chapter IX Diseases of the circulatory system,I9_TIA,F10,Coagulation factor X,Inverse variance weighted,9,1.04 [0.99-1.08],0.0862832804422976,cis
Chapter IX Diseases of the circulatory system,I9_TIA,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Inverse variance weighted,6,1.09 [0.98-1.22],0.100721559100808,cis
Chapter IX Diseases of the circulatory system,I9_TIA,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,25,1.03 [0.99-1.08],0.120896634250399,cis
Chapter IX Diseases of the circulatory system,I9_TIA,FSTL3,Follistatin-related protein 3,Inverse variance weighted,4,1.12 [0.97-1.29],0.123439505686404,cis
Chapter IX Diseases of the circulatory system,I9_TIA,NECTIN4,Nectin-4,Inverse variance weighted,7,1.05 [0.99-1.12],0.128946035721457,cis
