Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,LGALS3,Galectin-3,Inverse variance weighted,25,1.05 [1.02-1.09],0.000417603997146869,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,6,0.89 [0.83-0.95],0.000547031324346644,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,EPHB4,Ephrin type-B receptor 4,Wald ratio,1,1.12 [1.04-1.21],0.00232041177969748,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,7,0.91 [0.86-0.97],0.002863588849109,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,PLA2G2A,"Phospholipase A2, membrane associated",Inverse variance weighted,19,0.97 [0.95-0.99],0.00315856984626106,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,7,1.06 [1.02-1.11],0.00700635708942299,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",Inverse variance weighted,10,1.05 [1.01-1.1],0.0130467498122259,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,NCS1,Neuronal calcium sensor 1,Inverse variance weighted,3,0.9 [0.82-0.98],0.0138341231906717,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,CLEC14A,C-type lectin domain family 14 member A,Wald ratio,1,0.84 [0.73-0.97],0.0138715833316876,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,EFNA1,Ephrin-A1,Inverse variance weighted,11,0.95 [0.92-0.99],0.0152272225025048,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,REG1B,Lithostathine-1-beta,Inverse variance weighted,18,1.03 [1.01-1.06],0.015760398555158,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,CSPG4,Chondroitin sulfate proteoglycan 4,Inverse variance weighted,5,1.07 [1.01-1.14],0.0167750593637759,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,23,0.98 [0.96-1],0.0192004720917603,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,14,1.03 [1-1.06],0.0267536674584305,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,CLEC1A,C-type lectin domain family 1 member A,Inverse variance weighted,13,1.03 [1-1.05],0.0274737733681906,cis
