Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,SPARCL1,SPARC-like protein 1,Inverse variance weighted,15,0.81 [0.72-0.91],0.000390149507345399,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,13,0.83 [0.74-0.93],0.00168234506331604,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,CA12,Carbonic anhydrase 12,Inverse variance weighted,9,0.82 [0.71-0.95],0.00964881579703914,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,14,1.18 [1.04-1.34],0.0099405960016929,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,11,1.16 [1.03-1.31],0.017496917469003,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,ADM,Pro-adrenomedullin,Wald ratio,1,1.73 [1.1-2.72],0.0183858082001472,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,COLEC12,Collectin-12,Inverse variance weighted,7,0.75 [0.59-0.95],0.0188952702174655,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,LGALS9,Galectin-9,Inverse variance weighted,12,0.81 [0.69-0.97],0.0189474679906845,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,SMOC1,SPARC-related modular calcium-binding protein 1,Inverse variance weighted,9,1.16 [1.02-1.32],0.0224938275390049,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,NRP2,Neuropilin-2,Inverse variance weighted,10,0.8 [0.66-0.97],0.0267192797450733,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,LAYN,Layilin,Inverse variance weighted,12,1.15 [1.01-1.32],0.0344057691319079,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,4,0.8 [0.66-0.99],0.0358621811362196,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,1.33 [1.01-1.75],0.0411111787247456,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,6,1.22 [1.01-1.48],0.0441380687665712,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,REG1A,Lithostathine-1-alpha,Inverse variance weighted,8,1.16 [1-1.35],0.0502724558205691,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,MANSC1,MANSC domain-containing protein 1,Wald ratio,1,0.42 [0.17-1.03],0.0580996878738111,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,SUSD5,Sushi domain-containing protein 5,Inverse variance weighted,12,1.13 [0.99-1.29],0.0594650780640355,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,13,1.1 [0.99-1.22],0.0631259486035987,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,AGRN,Agrin,Inverse variance weighted,6,0.88 [0.77-1.01],0.070471499647989,cis
Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,PILRA,Paired immunoglobulin-like type 2 receptor alpha,Inverse variance weighted,32,1.05 [0.99-1.11],0.0829706706398785,cis
