Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,LAMP3,Lysosome-associated membrane glycoprotein 3,Inverse variance weighted,8,0.38 [0.19-0.76],0.00609672524790975,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,PGF,Placenta growth factor,Inverse variance weighted,2,91.48 [3.36-2492.53],0.00740069770503818,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,4,0.38 [0.19-0.77],0.00746224503053611,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,0.24 [0.08-0.69],0.0085718189192365,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,LGALS4,Galectin-4,Inverse variance weighted,4,3.67 [1.38-9.73],0.00909534441579427,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,ICAM2,Intercellular adhesion molecule 2,Inverse variance weighted,2,35.63 [2.39-530.82],0.00952015163768409,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,OGN,Mimecan,Inverse variance weighted,30,0.63 [0.44-0.9],0.0103469735911999,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,10,2.09 [1.18-3.69],0.011033532041912,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,FOLR1,Folate receptor alpha,Inverse variance weighted,5,4.16 [1.34-12.91],0.0135576391194002,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,KLK11,Kallikrein-11,Inverse variance weighted,6,1.58 [1.09-2.28],0.0151291559449432,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,BTN2A1,Butyrophilin subfamily 2 member A1,Wald ratio,1,0.1 [0.02-0.64],0.0151783661950237,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,SNCG,Gamma-synuclein,Inverse variance weighted,36,1.38 [1.06-1.81],0.0178747530703391,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,HSPB6,Heat shock protein beta-6,Wald ratio,1,193.29 [2.38-15676.65],0.018913506694103,cis
Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,XCL1,Lymphotactin,Inverse variance weighted,31,0.73 [0.56-0.95],0.0194042567343774,cis
