Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Duodenal ulcer,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,0.89 [0.79-1.00],0.0422460856156204
Chapter XI Diseases of the digestive system,Duodenal ulcer,LGALS4,Galectin-4,Inverse variance weighted,19,1.24 [1.07-1.44],0.0036449562624756
Chapter XI Diseases of the digestive system,Duodenal ulcer,PGA4,Pepsin A-4,Inverse variance weighted,9,1.64 [1.17-2.30],0.003884555492446
Chapter XI Diseases of the digestive system,Duodenal ulcer,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.88 [0.78-0.99],0.0278920774140104
Chapter XI Diseases of the digestive system,Duodenal ulcer,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,15,1.26 [1.07-1.47],0.0050482857266813
Chapter XI Diseases of the digestive system,Duodenal ulcer,EFNA1,Ephrin-A1,Inverse variance weighted,15,0.80 [0.67-0.95],0.0123382044274683
Chapter XI Diseases of the digestive system,Duodenal ulcer,CD302,CD302 antigen,Inverse variance weighted,17,0.85 [0.74-0.97],0.0187308751598105
Chapter XI Diseases of the digestive system,Duodenal ulcer,KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,8,1.37 [1.04-1.81],0.0261332031001117
Chapter XI Diseases of the digestive system,Duodenal ulcer,PALM2,Paralemmin-2,Inverse variance weighted,9,0.78 [0.62-0.99],0.0371186556659845
Chapter XI Diseases of the digestive system,Duodenal ulcer,ADAMTSL2,ADAMTS-like protein 2,Inverse variance weighted,9,0.67 [0.51-0.89],0.0061803145253098
