Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL14,C-X-C motif chemokine 14,49795,-0.0172972908374796,0.00337399739142761,-0.0239103257246777,-0.0106842559502815,2.96050658253624e-07
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SLC4A1,Band 3 anion transport protein,44128,0.0118835148644294,0.00264142623549528,0.00670631944285862,0.0170607102860001,6.84798307478096e-06
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DPP4,Dipeptidyl peptidase 4,49820,-0.00723400183891479,0.00165799901839474,-0.0104836799149685,-0.00398432376286111,1.28494645987865e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,50525,-0.00928635412085981,0.00219146242202013,-0.0135816204680193,-0.00499108777370035,2.26408023014114e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PLA2G7,Platelet-activating factor acetylhydrolase,50766,-0.00728189628565468,0.00177248705326413,-0.0107559709100524,-0.00380782166125699,3.99218739581325e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSMG4,Proteasome assembly chaperone 4,42851,0.0129484482418356,0.00319608072055798,0.00668413002954191,0.0192127664541292,5.10121944483144e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FGFR4,Fibroblast growth factor receptor 4,43157,-0.0117343888882572,0.00293144650110019,-0.0174800240304136,-0.00598875374610086,6.26660968313903e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,XG,Glycoprotein Xg,51132,-0.00703082016952358,0.00177147463628919,-0.0105029104566504,-0.00355872988239678,7.23012566264924e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TREM2,Triggering receptor expressed on myeloid cells 2,50728,-0.0114849761438939,0.00289826519907885,-0.0171655759340884,-0.00580437635369933,7.42060310182909e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IDS,Iduronate 2-sulfatase,51313,-0.00192682989418809,0.000490396185516235,-0.00288800641779991,-0.000965653370576271,8.53657149683596e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KRT19,"Keratin, type I cytoskeletal 19",50602,0.0146254591449238,0.00373955321623336,0.00729593484110637,0.0219549834487411,9.20279264599942e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,VASN,Vasorin,49978,-0.00589384799084627,0.00151982993465642,-0.00887271466277286,-0.00291498131891968,0.000105468437338784
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADGRG2,Adhesion G-protein coupled receptor G2,50752,-0.005827853550086,0.00150612552219672,-0.00877985957359157,-0.00287584752658043,0.000109224538771765
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSME2,Proteasome activator complex subunit 2,50134,0.00779064551702547,0.00203490128152446,0.00380223900523753,0.0117790520288134,0.000129076612005189
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PTPRF,Receptor-type tyrosine-protein phosphatase F,51381,-0.00605606871570381,0.00159613871861173,-0.00918450060418281,-0.00292763682722481,0.000148290318171101
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CRTAC1,Cartilage acidic protein 1,51381,-0.00633962998521901,0.00167283810865364,-0.00961839267818014,-0.00306086729225788,0.000150974042145873
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MEPE,Matrix extracellular phosphoglycoprotein,50728,-0.00531927614627731,0.00140419457467233,-0.00807149751263508,-0.00256705477991954,0.000151958594096705
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CAT,Catalase,43494,0.0110120361330116,0.00302609135130267,0.00508089708445839,0.0169431751815649,0.000273984072237853
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",42851,-0.0124362776388279,0.00342907813193972,-0.0191572707774297,-0.00571528450022602,0.000287386532556057
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CENPF,Centromere protein F,43318,0.011026045493429,0.00305584684892336,0.00503658566953922,0.0170155053173188,0.000308699655154208
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LRRN1,Leucine-rich repeat neuronal protein 1,49795,-0.00790034671096755,0.00219142089913947,-0.0121955316732809,-0.00360516174865419,0.000312307027013614
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BOLA2_BOLA2B,BolA-like protein 2,42944,0.0109171476737241,0.00303653163698277,0.00496554566523789,0.0168687496822104,0.000324419796166356
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CTSO,Cathepsin O,51313,-0.00597015638394663,0.00168271198140573,-0.00926827186750186,-0.00267204090039141,0.000388607249787104
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CFHR4,Complement factor H-related protein 4,44104,-0.0140453130416866,0.00400348011391177,-0.0218921340649537,-0.00619849201841957,0.000451469928293455
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNAJC9,DnaJ homolog subfamily C member 9,43930,0.0148345535331525,0.00424134238790936,0.00652152245285017,0.0231475846134549,0.000469914286950351
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL13RA1,Interleukin-13 receptor subunit alpha-1,50119,-0.00434625977615554,0.00124390225046654,-0.00678430818706997,-0.00190821136524112,0.000476157906187262
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GHR,Growth hormone receptor,43157,-0.00553889118267853,0.00158642324202622,-0.00864828073704993,-0.00242950162830714,0.000480916203309405
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BGLAP,Osteocalcin,44128,-0.0169942981539469,0.00490575119301393,-0.0266095704922542,-0.00737902581563961,0.000532398451405824
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ATXN3,Ataxin-3,44017,0.0119429137810791,0.00345027680083973,0.0051803712514332,0.0187054563107249,0.000537810758854097
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EGFL7,Epidermal growth factor-like protein 7,49555,0.00755205453250135,0.0022203512869488,0.00320016601008171,0.011903943054921,0.000671220354486014
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD8A,T-cell surface glycoprotein CD8 alpha chain,51197,-0.00933271788903446,0.00274986141054082,-0.0147224462536945,-0.00394298952437444,0.000689604391977419
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TXN,Thioredoxin,43421,0.00826691173614342,0.00244365158737419,0.00347735462489002,0.0130564688473968,0.000717578457490552
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SPP1,Osteopontin,51302,-0.00867610593520289,0.00256589592423136,-0.0137052619466964,-0.00364694992370943,0.000721932454436056
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AMPD3,AMP deaminase 3,44017,0.0134372350676486,0.00399165078831041,0.0056135995225602,0.021260870612737,0.000762392028969269
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CDHR2,Cadherin-related family member 2,50525,-0.0135463095621569,0.0040249110340271,-0.02143513518885,-0.00565748393546382,0.000764294933101984
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSME1,Proteasome activator complex subunit 1,50283,0.00695074062097165,0.00207657197435491,0.00288065955123602,0.0110208216907073,0.000816866108227595
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PRDX2,Peroxiredoxin-2,43397,0.0116931617837157,0.00349548922310162,0.00484200290643654,0.0185443206609949,0.000822885956776678
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL31RA,Interleukin-31 receptor subunit alpha,42685,-0.00733550012569746,0.0021961218629633,-0.0116398989771055,-0.00303110127428941,0.00083787909269314
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CLNS1A,Methylosome subunit pICln,42910,0.00628254870506813,0.00189223350245291,0.00257377104026042,0.00999132636987583,0.000900356331479374
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PVR,Poliovirus receptor,51197,0.0067856924205415,0.00205431396585018,0.00275923704747514,0.0108121477936079,0.0009567321630765
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GIPC2,PDZ domain-containing protein GIPC2,44017,0.00546960424975894,0.00166019554052045,0.00221562099033886,0.00872358750917901,0.00098655764413143
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,APCS,Serum amyloid P-component,43794,-0.00630537556010364,0.00191529185987105,-0.0100593476054509,-0.00255140351475638,0.000995129709326551
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2,51135,-0.00631032919135476,0.00192617628620524,-0.010085634712317,-0.00253502367039248,0.00105324634258223
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DDI2,Protein DDI1 homolog 2,43157,0.014027447286742,0.00432845304426809,0.00554367931997654,0.0225112152535075,0.0011930476981509
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PENK,Proenkephalin-A,43157,-0.00555140603926496,0.0017166381936624,-0.00891601689884327,-0.00218679517968666,0.00122211557409992
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LMOD1,Leiomodin-1,44037,0.00620105090095623,0.00194488104296878,0.00238908405673742,0.010013017745175,0.00143164532749655
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SCARA5,Scavenger receptor class A member 5,51197,-0.00526104926805275,0.00165098683292018,-0.00849698346057631,-0.00202511507552919,0.00144037720020777
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADGRE2,Adhesion G protein-coupled receptor E2,50976,0.00498549155016575,0.00156452966048045,0.00191901341562408,0.00805196968470743,0.0014405481011503
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MEGF10,Multiple epidermal growth factor-like domains protein 10,50728,-0.00699522711895326,0.00220280166542265,-0.0113127183831817,-0.00267773585472486,0.00149614044577775
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LGALS4,Galectin-4,50728,0.00956548420588937,0.00301341041208594,0.00365919979820093,0.0154717686135778,0.0015028540436106
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TNFSF10,Tumor necrosis factor ligand superfamily member 10,51313,-0.00458634056151583,0.00144911840416107,-0.00742661263367153,-0.00174606848936013,0.00155217401426771
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL8,Interleukin-8,50376,0.0120990543570446,0.00382620641549778,0.00459968978266896,0.0195984189314202,0.00156699532253248
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NT5E,5'-nucleotidase,50910,-0.00980358543326382,0.00310655805814682,-0.0158924392272316,-0.00371473163929606,0.00160167793068646
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KLKB1,Plasma kallikrein,43286,-0.00439622826049312,0.00139744928578032,-0.00713522886062255,-0.0016572276603637,0.00165691765555275
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD99,CD99 antigen,50766,-0.00339854543209773,0.0010808767782786,-0.00551706391752379,-0.00128002694667167,0.00166609809947051
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL19,Interleukin-19,49490,0.0122936070747882,0.00391482000620177,0.00462055986263273,0.0199666542869437,0.00168889267525567
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,OFD1,Oral-facial-digital syndrome 1 protein,43318,0.0114117032084154,0.0036534500316408,0.00425094114639938,0.0185724652704313,0.00178806396762844
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SHBG,Sex hormone-binding globulin,44150,0.00886334064843427,0.00283791951483455,0.00330101839935855,0.01442566289751,0.00179022430780264
