Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CD163,Scavenger receptor cysteine-rich type 1 protein M130,Inverse variance weighted,38,1.05 [0.97-1.15],0.214226744020652
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CTSL,Cathepsin L1,Inverse variance weighted,29,1.06 [0.97-1.16],0.210377667406291
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,PLXNB2,Plexin-B2,Inverse variance weighted,37,0.98 [0.94-1.01],0.219670242723317
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,F11R,Junctional adhesion molecule A,Inverse variance weighted,4,0.81 [0.59-1.11],0.192526631744426
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CDH3,Cadherin-3,Inverse variance weighted,12,1.05 [0.90-1.23],0.541013207993071
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,SIT1,Signaling threshold-regulating transmembrane adapter 1,Inverse variance weighted,7,0.88 [0.71-1.07],0.202808618849021
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,5,1.29 [0.93-1.80],0.122756064082772
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,OSCAR,Osteoclast-associated immunoglobulin-like receptor,Inverse variance weighted,31,1.01 [0.97-1.05],0.561957964631276
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CLEC1A,C-type lectin domain family 1 member A,Inverse variance weighted,20,0.97 [0.93-1.01],0.118414576368208
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,DNER,Delta and Notch-like epidermal growth factor-related receptor,Inverse variance weighted,28,0.97 [0.90-1.05],0.491021981261192
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,SCAMP3,Secretory carrier-associated membrane protein 3,Inverse variance weighted,2,0.85 [0.62-1.18],0.330101088865622
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,IDUA,Alpha-L-iduronidase,Inverse variance weighted,55,1.03 [0.99-1.07],0.0991287672723384
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,LGALS8,Galectin-8,Inverse variance weighted,15,0.98 [0.89-1.08],0.691728056869789
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,Inverse variance weighted,24,0.99 [0.91-1.08],0.785125729800982
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,ECHS1,"Enoyl-CoA hydratase, mitochondrial",Inverse variance weighted,5,1.05 [0.90-1.23],0.504702306263765
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,FGF21,Fibroblast growth factor 21,Inverse variance weighted,4,1.00 [0.83-1.21],0.960981629261789
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CSTB,Cystatin-B,Inverse variance weighted,25,0.98 [0.93-1.04],0.54359679231624
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,TFPI2,Tissue factor pathway inhibitor 2,Inverse variance weighted,24,0.97 [0.88-1.07],0.536506145350801
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CLGN,Calmegin,Inverse variance weighted,22,1.01 [0.96-1.06],0.641967829816944
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,NCR1,Natural cytotoxicity triggering receptor 1,Inverse variance weighted,35,1.02 [0.96-1.09],0.485638537190699
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,FOLR2,Folate receptor beta,Inverse variance weighted,16,1.03 [0.89-1.18],0.722976651464706
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,PLA2G7,Platelet-activating factor acetylhydrolase,Inverse variance weighted,21,0.98 [0.87-1.10],0.69743159570369
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,ALCAM,CD166 antigen,Inverse variance weighted,11,0.99 [0.88-1.11],0.831098687225306
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CXADR,Coxsackievirus and adenovirus receptor,Inverse variance weighted,13,0.82 [0.71-0.95],0.0099297928776338
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.97 [0.81-1.15],0.714259616130973
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,FSTL3,Follistatin-related protein 3,Inverse variance weighted,7,1.14 [0.97-1.35],0.110569040159854
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,SLMAP,Sarcolemmal membrane-associated protein,Wald ratio,1,1.81 [1.00-3.29],0.050759786170838
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,31,0.98 [0.87-1.10],0.73009296639521
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.00 [0.96-1.04],0.939905773280752
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,NTproBNP,N-terminal prohormone of brain natriuretic peptide,Inverse variance weighted,20,1.04 [0.96-1.13],0.336076350399657
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,MRC1,Macrophage mannose receptor 1,Inverse variance weighted,24,0.95 [0.85-1.05],0.306739226997861
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,BMPER,BMP-binding endothelial regulator protein,Inverse variance weighted,13,0.98 [0.90-1.07],0.660961930964387
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CD300C,CMRF35-like molecule 6,Inverse variance weighted,33,1.00 [0.95-1.05],0.938017443545717
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CTSZ,Cathepsin Z,Inverse variance weighted,16,1.02 [0.96-1.09],0.513599300574002
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Inverse variance weighted,45,0.99 [0.93-1.05],0.658937241042107
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,C9,Complement component C9,Inverse variance weighted,13,0.98 [0.84-1.15],0.843702705753395
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,TYMP,Thymidine phosphorylase,Inverse variance weighted,4,0.86 [0.72-1.03],0.10690247650992
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,23,0.99 [0.91-1.09],0.896019326509091
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CNTN3,Contactin-3,Inverse variance weighted,34,1.07 [0.98-1.17],0.128237223705765
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,SPOCK1,Testican-1,Inverse variance weighted,31,0.98 [0.89-1.07],0.579108745974287
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,1.08 [0.88-1.31],0.460428947916032
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,28,1.01 [0.96-1.06],0.714715796534917
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,IGF2R,Cation-independent mannose-6-phosphate receptor,Inverse variance weighted,37,1.00 [0.93-1.08],0.895749192808808
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,NCAN,Neurocan core protein,Inverse variance weighted,23,1.02 [0.92-1.12],0.771713951134025
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,0.98 [0.79-1.21],0.861793866241299
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,PTGDS,Prostaglandin-H2 D-isomerase,Inverse variance weighted,9,1.16 [0.86-1.56],0.329556988927692
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,SUOX,"Sulfite oxidase, mitochondrial",Inverse variance weighted,11,1.02 [0.90-1.15],0.741328920208422
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",Inverse variance weighted,21,1.03 [0.96-1.10],0.457102731827959
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CXCL13,C-X-C motif chemokine 13,Inverse variance weighted,2,0.98 [0.66-1.46],0.918299149967357
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Inverse variance weighted,22,1.01 [0.96-1.07],0.617834038058778
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Inverse variance weighted,2,0.92 [0.65-1.30],0.64773565380003
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Inverse variance weighted,18,1.04 [0.92-1.17],0.543084367438378
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CHCHD6,MICOS complex subunit MIC25,Inverse variance weighted,4,1.07 [0.96-1.19],0.230583435984116
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,0.99 [0.93-1.05],0.74094249031065
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",Wald ratio,1,1.43 [0.52-3.93],0.48768277648498
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,24,0.99 [0.93-1.07],0.846698569430645
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.09 [1.01-1.18],0.0355613344217171
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,LRRN1,Leucine-rich repeat neuronal protein 1,Inverse variance weighted,41,1.04 [0.96-1.12],0.310060381523336
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CA6,Carbonic anhydrase 6,Inverse variance weighted,51,0.98 [0.94-1.03],0.508645902493377
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,CD83,CD83 antigen,Inverse variance weighted,19,0.93 [0.81-1.08],0.341736926351094
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,MELTF,Melanotransferrin,Inverse variance weighted,42,1.02 [0.99-1.06],0.219665288986553
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,IMMT,MICOS complex subunit MIC60,Inverse variance weighted,2,1.11 [0.89-1.38],0.358058682761821
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Inverse variance weighted,8,0.97 [0.80-1.18],0.791817080144738
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,PRRT3,Proline-rich transmembrane protein 3,Inverse variance weighted,10,0.95 [0.80-1.12],0.53435800303145
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,0.95 [0.83-1.08],0.413934993866135
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,STX4,Syntaxin-4,Wald ratio,1,1.30 [0.66-2.56],0.44374235493181
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,AREG,Amphiregulin,Inverse variance weighted,7,1.03 [0.89-1.20],0.694800052338695
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,TPP1,Tripeptidyl-peptidase 1,Inverse variance weighted,18,1.00 [0.90-1.11],0.964693709635451
