Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,CHAD,Chondroadherin,Inverse variance weighted,15,0.97 [0.85-1.10],0.624595115076852
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,PCDH12,Protocadherin-12,Inverse variance weighted,17,1.03 [0.92-1.14],0.633363968759525
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,PRL,Prolactin,Inverse variance weighted,7,2.23 [1.37-3.61],0.0012178168210927
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,BGLAP,Osteocalcin,Inverse variance weighted,10,1.19 [0.83-1.72],0.343934065644512
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.87 [0.57-1.34],0.522340366470022
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,SHISA5,Protein shisa-5,Inverse variance weighted,16,0.91 [0.68-1.20],0.489524216099414
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,35,1.02 [0.93-1.11],0.705903886866262
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,PTH,Parathyroid hormone,Inverse variance weighted,11,1.29 [0.96-1.74],0.085385656608018
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,CDHR1,Cadherin-related family member 1,Inverse variance weighted,19,1.01 [0.91-1.13],0.82269321189252
Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,SPP1,Osteopontin,Inverse variance weighted,19,1.01 [0.76-1.33],0.965648145871022
