Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ANKRD54,Ankyrin repeat domain-containing protein 54,49898,0.0214563400159507,0.00445411213120081,0.0127262802387971,0.0301863997931043,1.46589220792149e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CAT,Catalase,47182,0.0172710525403152,0.0041043818174984,0.00922646417801838,0.0253156409026121,2.58902072906417e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CA2,Carbonic anhydrase 2,50343,0.0216867821970892,0.00523112592158222,0.011433775390788,0.0319397890033903,3.40031448560975e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ATG4A,Cysteine protease ATG4A,49898,0.0189627496915899,0.00458969712545865,0.00996694332569098,0.0279585560574889,3.61637223907106e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,50383,0.0230833519167492,0.00575372861165099,0.0118060438379133,0.0343606599955852,6.04345496914489e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,SLC4A1,Band 3 anion transport protein,47451,0.0149463359462698,0.00373762871664532,0.00762058366164496,0.0222720882308946,6.38850090005037e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,50419,0.0196258212529576,0.00497260847929632,0.00987950863353678,0.0293721338723784,7.94554805729831e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PPME1,Protein phosphatase methylesterase 1,50304,0.0176940885483304,0.00455205235489427,0.00877206593273763,0.0266161111639232,0.000101768478772967
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,DNAJB2,DnaJ homolog subfamily B member 2,47003,0.0159567747140435,0.00412158524711336,0.00787846762970132,0.0240350817983857,0.000108535123459812
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,NSFL1C,NSFL1 cofactor p47,50604,0.0189489186128436,0.00493111697323987,0.0092839293452935,0.0286139078803938,0.000122018284944375
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ATXN3,Ataxin-3,47385,0.0181920953414531,0.00477613132976422,0.00883087793511527,0.027553312747791,0.000139996392278181
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,RILP,Rab-interacting lysosomal protein,50539,0.0174526542712709,0.0046003122999434,0.00843604216338184,0.02646926637916,0.000148758734370628
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,AK1,Adenylate kinase isoenzyme 1,50419,0.0183408578329851,0.00484766448175339,0.00883943544874841,0.0278422802172217,0.000155087456941313
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,SEPTIN8,Septin-8,47347,0.00967836166739292,0.00256236949546414,0.0046561174562832,0.0147006058785026,0.00015914630982744
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSME2,Proteasome activator complex subunit 2,50128,0.0102259095543931,0.00276034583816866,0.00481563171158253,0.0156361873972037,0.000212274576347247
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CENPF,Centromere protein F,47094,0.015587600610559,0.0042196510295511,0.00731708459263887,0.0238581166284792,0.000221346401340875
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSME1,Proteasome activator complex subunit 1,50182,0.0103584084033885,0.00283635097686278,0.00479916048873743,0.0159176563180395,0.000260801512135405
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,50448,0.014203231810781,0.00391938140402375,0.00652124425889442,0.0218852193626675,0.000290913749900052
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CXCL8,Interleukin-8,50266,0.0192525898224356,0.00531946444987038,0.00882643950068961,0.0296787401441815,0.00029610541271131
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,GIPC2,PDZ domain-containing protein GIPC2,47385,0.00841962859114519,0.00238801346888712,0.00373912219212642,0.0131001349901639,0.000423230722812844
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",50539,0.0188431531531884,0.00540528688533849,0.00824879085792501,0.0294375154484519,0.000491149484093373
